Device,Test Name,Test Status,Message(s),Test description,Test category
CA1-LEAF1B,VerifyMlagReloadDelay,success,,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
CA1-LEAF1B,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
CA1-LEAF1B,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
CA1-LEAF1B,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
CA1-LEAF1B,VerifyAPIHttpStatus,success,,Verifies if eAPI HTTP server is disabled globally.,Security
CA1-LEAF1B,VerifyAPISSLCertificate,success,,"Verifies the eAPI SSL certificate expiry, common subject name, encryption algorithm and key size.",Security
CA1-LEAF1B,VerifyEOSVersion,failure,"EOS version mismatch - Actual: 4.34.3M-44102239.4343M (engineering build) not in Expected: 4.33.2F, 4.32.5M, 4.33.2F-40713977.4332F (engineering build)",Verifies the EOS version of the device.,Software
CA1-LEAF1B,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
CA1-LEAF1B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
CA1-LEAF1B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
CA1-LEAF1B,VerifyCPUUtilization,success,,Verifies whether the CPU utilization is below 75%.,System
CA1-LEAF1B,VerifyCoredump,success,,Verifies there are no core dump files.,System
CA1-LEAF1B,VerifyCoredump,success,,Verifies there are no core dump files.,System
CA1-LEAF1B,VerifyFileSystemUtilization,failure,Mount point: overlay         916G  832G   38G  96% / - Higher disk space utilization - Expected: 75% Actual: 96% - Mount point: /dev/sda2       916G  832G   38G  96% /mnt/flash - Higher disk space utilization - Expected: 75% Actual: 96%,Verifies that no partition is utilizing more than 75% of its disk space.,System
CA1-LEAF1B,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
CA1-LEAF1B,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
CA1-LEAF1B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CA1-LEAF1B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CA1-LEAF1B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CA1-LEAF1B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CA1-LEAF1B,VerifyUptime,success,,Verifies the device uptime.,System
CA1-LEAF1B,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
CA1-SPINE1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
CA1-SPINE1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
CA1-SPINE1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
CA1-SPINE1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
CA1-SPINE1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
CA1-SPINE1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
CA1-SPINE1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
CA1-SPINE1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
CA1-SPINE1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
CA1-SPINE1,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
CA1-SPINE1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
CA1-SPINE1,VerifyInterfaceDiscards,failure,Interface: Management0 - Non-zero discard counter(s): inDiscards: 3539,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
